卡牌ID,同卡牌ID,普通技能ID,觉醒技能ID,卡牌称号,卡牌名称,稀有度,职业,属性,COST,HP,物攻,魔攻,恢复量,卡牌类别,主效果,详细效果(普通）,详细效果(觉醒）,台词（攻击）,台词（支援）
10000101,10000099,11100441,11100442,悲恋少女,支援型阿斯特拉艾琳,MR,佣兵,风,5,1904,317,0,0,物理,魔攻↓/攻击,敌单体/物理/15804点+物理攻击力180%的风属性伤害,敌单体/物理/26262点+物理攻击力180%的风属性伤害，3回合/降低1790点魔法伤害,不许你伤害大家！,太好了，赶上了！
10000112,10000111,14300141,14300142,未知的遭遇,特异型小灰人,UR,歌姬,光,3,1269,0,0,212,治疗,延迟奶,自身/恢复4370点HP,己方1人/5回合/每回合恢复HP2893,激光枪还有一把哦。,不能输。
10000116,10000114,12600031,12600032,雾暗之英雄王,特异型迪特里希,UR,富豪,火,2,923,115,0,115,弱化,物攻↓/抽卡,敌单体/3回合/降低860点物理伤害，自身/抽卡+1,敌单体/3回合/降低1360点物理伤害，己方全体/抽卡+1,别就因为长得壮而得意忘形！,骑士们啊，为了我和王站起来吧！
10000130,10000129,11100331,11100332,充满谜团的骑士,支援型奥尔温,UR,佣兵,冰,4,1269,212,0,0,物理,攻击,敌单体/物理/8700点+物理攻击力150%的冰属性伤害,敌单体/物理/17370点+物理攻击力150%的冰属性伤害,再见了。,可以听我的请求吗？
10000134,10000133,12100221,12100222,统帅之骑士,第二型马尔科,UR,富豪,火,4,1269,212,0,0,物理,攻击/抽卡,敌单体/物理/8700点+物理攻击力150%的火属性伤害，自身/抽卡+1,敌单体/物理/17370点+物理攻击力150%的火属性伤害，自身/抽卡+2,别乱动小心我手滑咯？,这边就全交给我吧！
10000142,10000141,12100341,12100342,魔枪发动,复制型库丘林,MR,富豪,冰,4,0,698,0,0,物理,攻击/抽卡/魔防↑,敌单体/物理/10485点+物理攻击力150%的冰属性伤害,敌单体/物理/21042点+物理攻击力150%的冰属性伤害，己方全体/2回合/提升1536点魔法防御，己方全体/抽卡+1,阿尔斯特，至高无上！,放弃就只有死路一条！
10000152,10000151,11100311,11100312,苍红之劫火,虚无型永恒烈焰,MR,佣兵,火,5,2094,349,0,0,物理,攻击,敌单体/物理/11826点+物理攻击力180%的火属性伤害,敌全体/物理/23608点+物理攻击力180%的火属性伤害,全部烧掉，熔掉，消灭掉。,我也是亚瑟的同伴，所以。
10000155,10000153,14300051,14300052,光芒之魔导姬,支援型艾文,UR,歌姬,光,2,1154,0,0,192,治疗,治疗,自身/恢复2930点HP,己方1人/恢复4830点HP,哇呀啊！　咳咳…。,加油哦！　…呜，说出来了。
10000158,10000156,14300081,14300082,抑制之骑士,制御型贝德维尔,UR,歌姬,光,3,923,0,78,115,治疗,治疗,自身/恢复4370点HP,己方1人/恢复7240点HP,送你超厉害的一击！,全力封住敌人的力量！
10000165,10000164,12100281,12100282,神明之白鸟,制压型戈特弗里德,MR,富豪,暗,3,2094,349,0,0,物理,攻击/抽卡/物防↓,敌单体/物理/6838点+物理攻击力130%的暗属性伤害,敌单体/物理/13697点+物理攻击力130%的暗属性伤害，1回合/降低6350点物理防御，己方全体/抽卡+1,来吧。看我全都反击回去！,防守就交给我吧，你专心进攻！
10000172,10000171,11100371,11100372,圣枪之骑士,复制型渔夫王,UR,佣兵,暗,4,1269,212,0,0,物理,攻击,敌单体/物理/8700点+物理攻击力150%的暗属性伤害,敌单体/物理/17370点+物理攻击力150%的暗属性伤害,妨碍我霸道的人，一并排除。,竭尽全力，为目标而死。
10000178,10000176,12600061,12600062,素颜之丽人,支援型拉格妮尔,UR,富豪,暗,2,923,115,0,115,弱化,抽卡/物防↓,敌单体/3回合/降低2300点物理防御，自身/抽卡+1,敌单体/3回合/降低3850点物理防御，己方全体/抽卡+1,别看我是女的就小看我。,注意脚下。
10000207,10000206,13200311,13200312,吸血之妖精,巴班西,MR,盗贼,暗,4,0,0,228,317,魔法,攻击/中毒,敌单体/魔法/10485点+魔法攻击力150%的暗属性伤害,敌单体/魔法/17535点+魔法攻击力150%的暗属性伤害，8回合/每回合1220+50%魔法攻击力的中毒伤害,血一旦流出来就回不去了哦。,这样就好了吧？
10000209,10000208,11100521,11100522,农夫之妖精,棕精灵,UR,佣兵,风,4,1154,192,0,0,物理,物攻↑/攻击,敌单体/物理/6542点+物理攻击力150%的风属性伤害,敌单体/物理/10851点+物理攻击力150%的风属性伤害，自身/2回合/提升物理伤害7450,坏孩子。除草。农药。播撒。,蔬菜。重要。其他的。不熟。
10000215,10000214,14300181,14300182,信仰之妖精,希娅娜,UR,歌姬,光,5,923,0,78,115,治疗,治疗,自身/恢复3060点HP,己方全体/恢复6073点HP,你死到临头。已经祈祷完了吗。,请爱护身体。
10000217,10000216,13600101,13600102,恶意之妖精,安希里柯特,UR,盗贼,暗,3,923,0,78,115,弱化,物攻↓,敌单体/3回合/降低1240点物理伤害,敌单体/3回合/降低2448点物理伤害,声东击西。很适合我吧？,欠我人情咯？　呵呵呵…。
10000301,10000300,13200351,13200352,人工妖精,归化型妮妙,MR,盗贼,暗,3,2094,0,251,0,魔法,攻击/抽卡,敌单体/魔法/4589点+魔法攻击力130%的暗属性伤害,敌单体/魔法/9173点+魔法攻击力130%的暗属性伤害，自身/抽卡+2,通过不自由自在的招式，将敌人打倒叫起来。,让我们精神抖擞的来。赖洋洋的回去。
10000305,10000117,13200101,13200102,威严王座,复元型乌瑟,UR,盗贼,冰,4,923,0,78,115,魔法,攻击,敌单体/魔法/8700点+魔法攻击力150%的冰属性伤害,敌单体/魔法/14475点+魔法攻击力150%的冰属性伤害,没时间花在你身上！,要感谢我的话就献出女人来！
10000306,10000125,12500081,12500082,稀世之胜负师,第二型塔奎恩,UR,富豪,冰,4,923,115,0,115,防御,抽卡/魔防↑,自身/2回合/提升1000点魔法防御，自身/抽卡+1,己方全体/2回合/提升1660点魔法防御，己方全体/抽卡+1,我赌了你输！,我要不要开始做救人的生意呢。
10000308,10000102,12100161,12100162,英雄皇帝,特异型拿破仑,UR,富豪,光,2,923,115,78,0,物理,攻击/抽卡,敌单体/物理/2930点光属性伤害,敌单体/物理/4830点光属性伤害，己方全体/抽卡+1,好了，该结束了。,放心吧，有本大爷在呢？
10001004,10001001,12100121,12100122,旅人之归还,第二型卡多,UR,富豪,风,2,923,115,78,0,物理,攻击/抽卡,敌单体/物理/2930点风属性伤害,敌单体/物理/4830点风属性伤害，己方全体/抽卡+1,好了，跟我来吧！,别倒下啊。振作点？
10001009,10001008,11400071,11400072,萝莉魔法少女,第二型库拉奇,UR,佣兵,火,3,1269,212,0,0,支援,物攻↑/抽卡,自身/1回合/提升物理伤害7230,自身/1回合/提升物理伤害14460，自身/抽卡+1,给我让开！,治愈的魔法！　诶！
10001015,10001014,12400021,12400022,杂而不精,第二型索尔,UR,富豪,冰,3,1269,212,0,0,支援,物攻↑/抽卡,自身/1回合/提升物理伤害7230，自身/抽卡+1,自身/1回合/提升物理伤害14460，己方全体/抽卡+1,就算没法超过去我也能紧紧咬住！,要…要是打中要害就危险了！
10001024,10001023,11100481,11100482,亡王化身,特殊型哥罗亚斯,UR,佣兵,风,3,1269,212,0,0,物理,破防/攻击,敌单体/物理/4134点+物理攻击力130%的风属性伤害,敌单体/物理/8330点+物理攻击力130%的风属性伤害，无视55%的防御,可恶的乌瑟！,绝对要活着回去哦！！
10001026,10001025,14200161,14200162,煽动之恶鬼,第二型迪拿丹,UR,歌姬,风,4,1269,0,143,0,魔法,攻击,敌单体/魔法/8700点+魔法攻击力150%的风属性伤害,敌单体/魔法/17370点+魔法攻击力150%的风属性伤害,喜欢被虐的变态上前来。,好啊。玩到你尽兴为止。
10001030,10001029,13200271,13200272,天照之巫女,特异型卑弥呼,MR,盗贼,暗,3,4188,0,0,0,魔法,攻击/魔防↓,敌单体/魔法/6838点+魔法攻击力130%的暗属性伤害,敌单体/魔法/13697点+魔法攻击力130%的暗属性伤害，1回合/降低6350点魔法防御,天诛！　好好去悔改吧！,不痛，一点都不痛！
10001032,10001031,12100301,12100302,北方的战乙女,特异型希格露恩,MR,富豪,冰,3,4188,0,0,0,物理,攻击/抽卡/物防↑,敌单体/物理/6838点+物理攻击力130%的冰属性伤害,敌单体/物理/13697点+物理攻击力130%的冰属性伤害，己方全体/2回合/提升960点物理防御，己方全体/抽卡+1,染色吧，胜利之枪！,不要畏惧死亡！
10001034,10001033,12100261,12100262,指引人民的圣女,特异型贞德·达克尔,MR,富豪,光,5,4188,0,0,0,物理,攻击/抽卡,敌单体/物理/11826点+物理攻击力180%的光属性伤害,敌全体/物理/23608点+物理攻击力180%的光属性伤害，己方全体/抽卡+1,请退后！,各位，站起来啊！
10001036,10001035,13200231,13200232,强刚的盾骑士,第二型柯尔格利万斯,MR,盗贼,风,5,2094,0,251,0,魔法,攻击,敌单体/魔法/11826点+魔法攻击力180%的风属性伤害,敌全体/魔法/23608点+魔法攻击力180%的风属性伤害,虽然我不擅长攻击！,我在前面顶着！
10001040,10001039,12500101,12500102,极光之妖精,佩里舞者,UR,富豪,暗,3,1154,0,130,0,防御,抽卡/魔防↑,自身/3回合/提升1418点魔法防御,己方1人/3回合/提升2379点魔法防御，己方全体/抽卡+1,这周的幸运道具，是钝器！,只要追随着王，就无所畏惧。
10001046,10001045,13200291,13200292,生杀予夺,犬魔,UR,盗贼,火,5,923,0,78,115,魔法,物攻↓/攻击,敌单体/魔法/9612点+魔法攻击力180%的火属性伤害,敌单体/魔法/15948点+魔法攻击力180%的火属性伤害，3回合/降低730点物理伤害,瞄准咽喉的一击！让你鲜血飞溅！,没办法，我就呆在你身边吧。
10001048,10001047,14400121,14400122,黑云之妖精,露萨莉,UR,歌姬,风,4,923,0,78,115,支援,物攻↑/魔攻↑,自身/3回合/提升物理伤害2180，3回合/提升魔法伤害2180,己方全体/3回合/提升物理伤害3620，3回合/提升魔法伤害3620,预报……要下血雨了！,天站在我们这边……！
10001050,10001049,11100411,11100412,家畜守卫,吉利图,UR,佣兵,光,4,923,115,0,115,物理,攻击,敌单体/物理/6390点+物理攻击力150%的光属性伤害,敌单体/物理/10650点+物理攻击力150%的光属性伤害，暴击率50%,看我全给抓住！,不工作就强制劳动。
10001058,10001057,12100361,12100362,东洋的守护姬,特异型甲斐姬,UR,富豪,光,4,1269,212,0,0,物理,反伤/攻击/抽卡,敌单体/物理/6390点+物理攻击力150%的光属性伤害,敌单体/物理/12780点+物理攻击力150%的光属性伤害，提升累计损血25%的威力，己方全体/抽卡+1,对你一招都太多了！,真没办法，我来保护你！
10002002,10002001,13200251,13200252,秘密之恋,第二型罗恩法尔,UR,盗贼,光,4,1269,0,143,0,魔法,攻击,敌单体/魔法/8700点+魔法攻击力150%的光属性伤害,敌单体/魔法/17370点+魔法攻击力150%的光属性伤害,干掉他，法尔！　啊，是我才对。,回复要怎么做？　随便弄就好？
10002006,10002005,14400081,14400082,说教少女,支援型克莱尔,MR,歌姬,火,5,4188,0,0,0,支援,物攻↑,自身/3回合/提升物理伤害6010,己方全体/3回合/提升物理伤害11964,乖乖地倒下吧，这个渣渣。,请加油。
10002014,10002013,12100321,12100322,沼泽之妖精,凯尔皮,MR,富豪,冰,3,0,317,0,317,物理,攻击/抽卡,敌单体/物理/5135点+物理攻击力130%的冰属性伤害,敌全体/物理/8541点+物理攻击力130%的冰属性伤害，己方全体/抽卡+1,来来。这边的水很甜哦？,也能成为只消融疲劳的温泉哦！
10002018,10002017,14300221,14300222,便利屋妖精,匹克西,MR,歌姬,光,3,1904,0,0,317,治疗,治疗↑/治疗,自身/恢复7196点HP,己方1人/恢复11951点HP，自身/3回合/提升治疗量2220,出格者！　给我乖乖的！,不排除自己人犯罪的可能性…。
10002020,10002019,14200201,14200202,谍报之妖精,妖精姆莉安,UR,歌姬,火,3,1269,0,143,0,魔法,攻击/延迟奶,敌单体/魔法/4134点+魔法攻击力130%的火属性伤害,敌单体/魔法/8330点+魔法攻击力130%的火属性伤害，自身/2回合/每回合恢复HP1393,快速将敌人排除……。,全力去达成任务……。
10002030,10002029,14400161,14400162,正义之得分王,蹴球型加荷里斯,MR,歌姬,火,2,1142,0,0,444,支援,物攻↑,自身/1回合/提升物理伤害2878,己方全体/2回合/提升物理伤害4817,洗好脖子等着吧！,振作点。要放弃还为时尚早！
10003002,10003001,13600121,13600122,深海之妖精,佩格帕乌拉,UR,盗贼,冰,3,1154,0,130,0,弱化,魔防↑/魔防↓,敌单体/3回合/降低3290点魔法防御,敌单体/3回合/降低5483点魔法防御，自身/3回合/提升1095点魔法防御,给我下沉吧。直到被水压压扁。,还很浅呢没事的。
10003004,10003003,11100501,11100502,无主妖精,希尔奇,MR,佣兵,火,4,0,635,0,0,物理,吸血/攻击,敌单体/物理/10792点+物理攻击力150%的火属性伤害,敌单体/物理/17926点+物理攻击力150%的火属性伤害，自身/HP恢复伤害量的50%,虽然作为女仆会太过粗鲁！,请摆正坐姿。
10003006,10003005,14300201,14300202,妖乐之三重奏,奏乐型妖精,UR,歌姬,冰,2,577,96,65,96,治疗,抽卡/治疗,自身/恢复1270点HP，自身/抽卡+1,己方全体/恢复2060点HP，自身/抽卡+1,才不会半途而废呢！,就算笨手笨脚，也会为了某个人……！
10003008,10003007,11100461,11100462,宇宙踢球少女,蹴球型小灰人,MR,佣兵,风,3,2094,349,0,0,物理,物攻↑/攻击,敌单体/物理/6838点+物理攻击力130%的风属性伤害,敌单体/物理/13697点+物理攻击力130%的风属性伤害，自身/2回合/提升物理伤害10908,充填完毕。马上准备发射。,振作点！
10003010,10003009,13200331,13200332,浪漫负责人,争杯型珀西瓦尔,MR,盗贼,冰,3,2094,0,251,0,魔法,魔攻↑/攻击,敌单体/魔法/6838点+魔法攻击力130%的冰属性伤害,敌单体/魔法/13697点+魔法攻击力130%的冰属性伤害，自身/2回合/提升魔法伤害10908,射到门里去喵！,这种事我也做得到啦。
10103002,10103001,14300241,14300242,大家族团圆,圣夜型布兰奇芙蓉,UR,歌姬,火,2,923,0,78,115,治疗,治疗,自身/恢复1309点HP,己方全体/恢复2181点HP,不让你吃点苦头是不行呢！,吃了我的饭就是一家人啦！
10103004,10103003,13200391,13200392,休假归来,圣夜型达玛斯,UR,盗贼,冰,2,923,0,78,115,魔法,攻击,敌单体/魔法/1616点冰属性伤害,敌全体/魔法/2693点冰属性伤害,赶快搞定我要回去了。,没休息时间的你们也真可怜。
10103006,10103005,12100381,12100382,孤高的佣兵,圣夜型佣兵亚瑟,MR,富豪,风,3,1904,317,0,0,物理,攻击/抽卡,敌单体/物理/9354点+物理攻击力130%的风属性伤害,敌单体/物理/15536点+物理攻击力130%的风属性伤害，己方全体/抽卡+1,别想对他们出手！,可要好好工作啊！
10103008,10103007,13600141,13600142,白夜之圣女,圣夜型圣诞老人,MR,盗贼,光,4,1904,0,228,0,弱化,物攻↓,敌单体/3回合/降低1689点物理伤害,敌全体/3回合/降低2835点物理伤害,坏孩子是没有礼物的！,为了守护未来的笑容！
10103010,10103009,11100561,11100562,圣夜结束,圣夜型艾恩赛德,UR,佣兵,暗,2,1154,192,0,0,物理,破防/攻击,敌单体/物理/2181点暗属性伤害,敌单体/物理/3617点暗属性伤害，无视55%的防御,圣夜就应该不存在！,竟然要救这种轻浮的人。
10104002,10104001,12400041,12400042,充满谜团的圣夜,圣夜型奥尔温,UR,富豪,火,2,2769,0,0,0,支援,物攻↑/抽卡,自身/1回合/提升物理伤害5797,自身/1回合/提升物理伤害9645，己方全体/抽卡+1,请成为我看的上的人吧。,虽然那是跟我的理想差很远的人……
10104004,10104003,14300301,14300302,继承者的假日,圣夜型君士坦丁,MR,歌姬,冰,2,3198,0,0,228,治疗,治疗↑/治疗,自身/恢复4317点HP,己方1人/恢复7195点HP，提升chain威力，自身/3回合/提升治疗量1320,我会首先留情！　现在速速离开！,吾等同胞，毫不惧怕地站起来吧！
10104006,10104005,14300281,14300282,大家族团圆,圣夜型丽奈特,UR,歌姬,风,3,2769,0,0,0,治疗,治疗,自身/恢复5234点HP,己方1人/恢复8671点HP,如果是莉奥妮丝大人还会更痛哦！,摔倒也要爬起来！
10104008,10104007,13400091,13400092,博爱的守护姬,圣夜型戈特弗里德,UR,盗贼,光,2,1385,0,156,0,支援,魔攻↑,自身/1回合/提升魔法伤害3489,己方全体/1回合/提升魔法伤害5797,啊真是的！让我一块来料理掉吧！,无论发生什么也要守护到底！
10104010,10104009,11100541,11100542,永远送温暖,圣夜型索尔,MR,佣兵,暗,5,2285,381,0,0,物理,攻击,敌单体/物理/19372点+物理攻击力180%的暗属性伤害,敌单体/物理/32213点+物理攻击力180%的暗属性伤害，提升chain威力,让你见识下万年跑腿的怨念吧！,为了陛下我要豁出去啦！
10104012,10104011,14300261,14300262,再构筑之妖精,古亚加,MR,歌姬,暗,4,1904,0,0,317,治疗,抽卡/延迟奶,自身/恢复9574点HP，自身/抽卡+1,己方全体/3回合/每回合恢复HP2439，自身/抽卡+1,我就不重新组装你啦。,组装这个零件试试？
10105002,10105001,12100441,12100442,静寂的猛虎,新春型艾妮多,MR,富豪,火,5,1257,489,0,0,物理,攻击/抽卡,敌单体/物理/21512点+物理攻击力180%的火属性伤害,敌单体/物理/42914点+物理攻击力180%的火属性伤害，己方全体/抽卡+1,唔唔！（小菜一碟！）,唔~！（都是为了亚瑟大人！）
10105005,10105004,14300341,14300342,黎明的激情,新春型加荷里斯,UR,歌姬,冰,2,762,0,0,296,治疗,魔防↑/治疗,自身/恢复2181点HP,己方1人/2回合/提升1386点魔法防御，恢复6541点HP,在地狱里忏悔罪行吧！,为了世界的秩序！
10105007,10105006,13200471,13200472,鲁莽的女帝,新春型恺撒,UR,盗贼,风,4,1777,0,86,0,魔法,破防/攻击,敌单体/魔法/6542点+魔法攻击力150%的风属性伤害,敌单体/魔法/13007点+魔法攻击力150%的风属性伤害，无视55%的防御,哼，多管闲事！,临阵退缩那就命数已尽了！
10105009,10105008,11100621,11100622,未曾有的厄运,新春型贝琳,MR,佣兵,光,5,1257,0,352,0,魔法,攻击,敌单体/魔法/21512点+魔法攻击力180%的光属性伤害,敌单体/魔法/42914点+魔法攻击力180%的光属性伤害,帮我解除诅咒，我什么都给你！,似乎接受了大家的诅咒……
10105012,10105011,13400111,13400112,七彩的曙光,新春型乌莎哈,MR,盗贼,暗,5,4188,0,0,0,支援,魔攻↑,自身/3回合/提升魔法伤害6006,己方全体/3回合/提升魔法伤害11951,是。能躲开的话就请你试试。,是。有幸运的乌莎哈在你身边。
10105014,10105013,12500141,12500142,开辟之龙枪,新春型库丘林,UR,富豪,火,3,1154,0,0,192,防御,抽卡/魔防↑,自身/1回合/提升1309点魔法防御，自身/抽卡+1,己方全体/1回合/提升2181点魔法防御，己方全体/抽卡+1,全力以赴！,都给我起来，这群没出息的家伙！
10105016,10105015,12100481,12100482,曙炎之人狼,新春型毕斯克拉乌莉特,MR,富豪,风,4,1142,444,0,0,物理,攻击/抽卡,敌单体/物理/14360点+物理攻击力150%的风属性伤害，自身/抽卡+1,敌单体/物理/23871点+物理攻击力150%的风属性伤害，自身/抽卡+2,追你玩！追得满地跑！,完了之后让我吃饭！
10105019,10105018,11100661,11100662,春凤的战乙女,新春型艾菲,MR,佣兵,冰,3,1142,444,0,0,物理,攻击,敌单体/物理/5125点+物理攻击力130%的冰属性伤害,敌全体/物理/8541点+物理攻击力130%的冰属性伤害,在看哪里呢？　我在上面！,简直就像被父母保护的雏鸟。
10105021,10105020,13200491,13200492,迎春的战乙女,新春型希格露恩,UR,盗贼,光,3,1615,115,0,0,魔法,魔攻↓/攻击,敌单体/魔法/4252点+魔法攻击力130%的光属性伤害,敌单体/魔法/7086点+魔法攻击力130%的光属性伤害，3回合/降低1176点魔法伤害,舍弃自己的肉体吧！,赐予你符文的庇护。
10105023,10105022,14400201,14400202,朱铠之子女,新春型依缇尔,UR,歌姬,暗,3,923,0,78,115,防御,抽卡/魔防↑,自身/2回合/提升873点魔法防御,己方全体/2回合/提升1487点魔法防御，自身/抽卡+1,铠甲可不是女人的全部啊！,呼呼！　咯吱咯吱……
10105026,10105025,11100681,11100682,待春的旅人,新春型卡多,MR,佣兵,火,3,2665,190,0,0,物理,攻击,敌单体/物理/6995点+物理攻击力130%的火属性伤害,敌单体/物理/11632点+物理攻击力130%的火属性伤害，暴击率50%,能跟上我的速度吗？,没事吧？稍微休息下？
10105028,10105027,13600161,13600162,送春华谣,新春型歌姬亚瑟,MR,盗贼,光,3,2665,0,137,0,弱化,物防↑/物防↓,敌单体/3回合/降低4075点物理防御,敌单体/3回合/降低6812点物理防御，己方全体/3回合/提升713点物理防御,哼！我生气了！,大家也来转换下心情？
10105030,10105029,13200451,13200452,蓝之手艺人,新春型莉芙,MR,盗贼,光,2,2665,0,137,0,魔法,攻击/抽卡,敌单体/魔法/4817点光属性伤害,敌单体/魔法/7987点光属性伤害，自身/抽卡+1,惹我生气后果很严重！,别抽到「凶」就行。
10105032,10105029,14200241,14200242,蓝之手艺人,新春型莉芙,MR,歌姬,光,2,2665,0,0,190,魔法,治疗↑/攻击,敌单体/魔法/3628点光属性伤害,敌单体/魔法/6006点光属性伤害，自身/2回合/提升治疗量1940,惹我生气后果很严重！,别抽到「凶」就行。
10105034,10105033,11100601,11100602,严格的剑圣,新春型亚瑟　剑术之城,MR,佣兵,光,2,2665,190,0,0,物理,攻击,敌单体/物理/3628点光属性伤害,敌单体/物理/6006点光属性伤害，提升chain威力,就让我在这里做出了结吧！,在我面前休想得逞！！
10105036,10105033,12100421,12100422,严格的剑圣,新春型亚瑟　剑术之城,MR,富豪,光,4,1142,444,0,0,物理,攻击/抽卡,敌单体/物理/14360点+物理攻击力150%的光属性伤害,敌单体/物理/23871点+物理攻击力150%的光属性伤害，己方全体/抽卡+1,就让我在这里做出了结吧！,在我面前休想得逞！！
